id,nombre,categoria,n_comparten,marcas_en_grupo,imagen
1841,"Oring 43,82x5,34",Fijaciones,33,,https://http2.mlstatic.com/D_Q_NP_2X_735261-CBT108836001427_032026-E-sellos-hidraulicos-con-junta-torica-nbr-90-sello-de-goma-de.webp
1551,Tub Red Neg 2 1/2 x 3.0mm,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1552,"Tub Red Neg 1 1/2 x 1,5 MM",Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1553,Tub Red Neg 1 1/2 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1554,Tub Red Neg 1 1/4 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1555,Tub Red Neg 1 3/4 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1556,"Tub Red Neg 1 x 1,5 MM",Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1557,Tub Red Neg 1 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1558,Tub Red Neg 2 1/2 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1559,Tub Red Neg 2 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1560,Tub Red Neg 2 x 3.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1561,Tub Red Neg 3 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1562,Tub Red Neg 3 x 3.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1563,Tub Red Neg 4 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1564,Tub Red Neg 4 x 3.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1565,Tub Red Neg 4 x 4.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
1566,Tub Red Neg 5 X3mm,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2261,Tub Red Neg 2 1/2 x 3.0mm,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2262,"Tub Red Neg 1 1/2 x 1,5 MM",Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2263,Tub Red Neg 1 1/2 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2264,Tub Red Neg 1 1/4 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2265,Tub Red Neg 1 3/4 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
